Fila;NRO_OPERACION;NRO_CUOTA;FEC_PAGO;HORA;MTO_CAPITAL;MTO_INTERES;MTO_INT_DOCUMENTADO;MTO_INT_MORATORIO;MTO_INT_MOR_INTERES;MTO_INT_MOR_ADELANTADO;MTO_INT_PUNITORIO;MTO_CARGO;MTO_IMPUESTO;MTO_GAS_ADMINISTRATIVOS;MTO_HONORARIO;MTO_INT_DESCONTADO;MONTO;DIA_MORA;NRO_CTA_RENOVADA;MTO_INT_MOR_CAL;MTO_INT_MOR_INT_CAL;MTO_INT_MOR_ADE_CAL;MTO_INT_PUN_CAL;MTO_CARGO_CAL;MTO_CAR_IVA_CAL;MTO_IMPUESTO_CAL;SAL_CAPITAL;SAL_INTERES
1;366640-0044;6;11/01/2026;00:00:00;413967;34517;0;6881;0;0;2064;0;0;0;0;0;457429;40;;0;0;0;0;0;0;0;0;0
2;337242-0150;32;11/01/2026;00:00:00;210406;18796;0;13319;0;0;3996;0;0;0;0;0;246517;101;;0;0;0;0;0;0;0;0;0
3;337242-0149;32;11/01/2026;00:00:00;92150;0;0;5355;0;0;1606;0;0;0;0;0;99111;101;;0;0;0;0;0;0;0;0;0
4;341984-0147;21;11/01/2026;00:00:00;943513;650459;0;80354;0;0;24106;0;0;0;0;0;1698432;80;;0;0;0;0;0;0;0;0;0
5;512232-0031;34;11/01/2026;00:00:00;919120;50765;0;43260;0;0;12978;0;0;0;0;0;1026123;52;;0;0;0;0;0;0;0;0;0
6;633915-0055;5;11/01/2026;00:00:00;653568;251980;0;29771;0;0;8931;0;0;0;0;0;944250;60;;0;0;0;0;0;0;0;0;0
7;642737-0031;11;11/01/2026;00:00:00;244618;32283;0;7639;0;0;2292;0;0;0;0;0;286832;53;;0;0;0;0;0;0;0;0;0
8;659573-0013;2;11/01/2026;00:00:00;205306;35995;0;17731;0;0;5319;0;0;0;0;0;264351;90;;0;0;0;0;0;0;0;0;0
9;659573-0013;3;11/01/2026;00:00:00;208343;32958;0;0;0;0;0;0;0;0;0;0;241301;59;;0;0;0;0;0;0;0;0;0
