Fila;NRO_OPERACION;NRO_CUOTA;FEC_PAGO;HORA;MTO_CAPITAL;MTO_INTERES;MTO_INT_DOCUMENTADO;MTO_INT_MORATORIO;MTO_INT_MOR_INTERES;MTO_INT_MOR_ADELANTADO;MTO_INT_PUNITORIO;MTO_CARGO;MTO_IMPUESTO;MTO_GAS_ADMINISTRATIVOS;MTO_HONORARIO;MTO_INT_DESCONTADO;MONTO;DIA_MORA;NRO_CTA_RENOVADA;MTO_INT_MOR_CAL;MTO_INT_MOR_INT_CAL;MTO_INT_MOR_ADE_CAL;MTO_INT_PUN_CAL;MTO_CARGO_CAL;MTO_CAR_IVA_CAL;MTO_IMPUESTO_CAL;SAL_CAPITAL;SAL_INTERES
33;312898-0165;3;11/03/2025;00:00:00;526211;9082;0;20942;0;0;6283;0;0;0;0;0;562518;68;;0;0;0;0;0;0;0;0;0
34;312898-0143;21;11/03/2025;00:00:00;562861;409749;0;29418;0;0;8825;0;0;0;0;0;1010853;46;;0;0;0;0;0;0;0;0;0
35;370672-0086;36;11/03/2025;00:00:00;997071;17220;0;29178;0;0;8753;0;0;0;0;0;1052222;50;;0;0;0;0;0;0;0;0;0
36;274525-0226;5;11/03/2025;00:00:00;411697;14334;0;11765;0;0;3530;0;0;0;0;0;441326;48;;0;0;0;0;0;0;0;0;0
37;210576-0123;4;11/03/2025;00:00:00;87675;14598;0;7120;0;0;2136;0;0;0;0;0;111529;121;;0;0;0;0;0;0;0;0;0
38;148543-0217;6;11/03/2025;00:00:00;381366;85109;0;12627;0;0;3788;0;0;0;0;0;482890;52;;0;0;0;0;0;0;0;0;0
39;218426-0275;7;11/03/2025;00:00:00;403363;129764;0;17833;0;0;5350;0;0;0;0;0;556310;99;;0;0;0;0;0;0;0;0;0
40;522633-0109;30;11/03/2025;00:00:00;594584;646474;0;0;0;0;0;0;0;0;0;0;1241058;68;;0;0;0;0;0;0;0;0;0
41;522633-0109;31;11/03/2025;00:00:00;604846;636212;0;0;0;0;0;0;0;0;0;0;1241058;37;;0;0;0;0;0;0;0;0;0
42;522633-0091;31;11/03/2025;00:00:00;71979;0;0;2029;0;0;609;0;0;0;0;0;74617;49;;0;0;0;0;0;0;0;0;0
43;418417-0086;1;11/03/2025;00:00:00;51804;0;0;4028;0;0;1208;0;0;0;0;0;57040;129;;0;0;0;0;0;0;0;0;0
44;418417-0086;2;11/03/2025;00:00:00;51804;0;0;3091;0;0;927;0;0;0;0;0;55822;99;;0;0;0;0;0;0;0;0;0
45;596704-0028;16;11/03/2025;00:00:00;147035;23240;0;6344;0;0;1903;0;0;0;0;0;178522;68;;0;0;0;0;0;0;0;0;0
46;460078-0068;17;11/03/2025;00:00:00;70659;0;0;4216;0;0;1264;0;0;0;0;0;76139;65;;0;0;0;0;0;0;0;0;0
47;460078-0068;18;11/03/2025;00:00:00;70659;0;0;0;0;0;0;0;0;0;0;0;70659;34;;0;0;0;0;0;0;0;0;0
48;460078-0079;17;11/03/2025;00:00:00;371057;641174;0;58794;0;0;17638;0;0;0;0;0;1088663;65;;0;0;0;0;0;0;0;0;0
49;460078-0079;18;11/03/2025;00:00:00;377767;634464;0;0;0;0;0;0;0;0;0;0;1012231;34;;0;0;0;0;0;0;0;0;0
50;593354-0051;11;11/03/2025;00:00:00;216209;7889;0;9185;0;0;2755;0;0;0;0;0;236038;68;;0;0;0;0;0;0;0;0;0
51;613492-0031;11;11/03/2025;00:00:00;592303;47715;0;19656;0;0;5897;0;0;0;0;0;665571;59;;0;0;0;0;0;0;0;0;0
52;496907-0064;28;11/03/2025;00:00:00;813246;135414;0;70409;0;0;21123;0;0;0;0;0;1040192;129;;0;0;0;0;0;0;0;0;0
53;642124-0017;5;11/03/2025;00:00:00;175266;19310;0;5373;0;0;1612;0;0;0;0;0;201561;63;;0;0;0;0;0;0;0;0;0
54;568253-0035;11;11/03/2025;00:00:00;363619;93239;0;11515;0;0;3455;0;0;0;0;0;471828;46;;0;0;0;0;0;0;0;0;0
55;644508-0046;2;11/03/2025;00:00:00;545327;95611;0;27815;0;0;8344;0;0;0;0;0;677097;88;;0;0;0;0;0;0;0;0;0
